test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize,num_train
0.5091231546781458,0.5118870728083209,0.5174309880798094,1.0,128,47_reasoning_tf,24,layer_24/width_16k/standard,l1,False,3
0.3333333333333333,0.5,0.5,0.5,16,47_reasoning_tf,24,layer_24/width_16k/standard_new,l1,False,143
0.5374963165663896,0.5380094043887147,0.5380333575731371,0.7552083333333334,128,47_reasoning_tf,24,layer_24/width_16k/standard_new,l1,False,143
0.631730571599906,0.6338116032439176,0.6817973163231068,0.9583333333333334,16,52_virtue_is,24,layer_24/width_16k/p_anneal,l1,False,20
0.6216422177978571,0.6217508837596174,0.6791369892867398,1.0,128,52_virtue_is,24,layer_24/width_16k/p_anneal,l1,False,20
0.7469508521300006,0.7476875642343268,0.827841441426216,0.8416666666666667,16,63_wikidata_occupation_issinger,24,layer_24/width_16k/topk_32,l1,False,53
0.7135659273098656,0.7153134635149023,0.8282391265082194,0.8979166666666667,128,63_wikidata_occupation_issinger,24,layer_24/width_16k/topk_32,l1,False,53
0.8424731824413083,0.8429752066115702,0.9229251411571853,0.9011604641856743,16,24_headline_isiran,24,layer_24/width_16k/batch_topk_32,l1,False,1024
0.9035007162860824,0.9035812672176309,0.9610224030113533,0.9175670268107243,128,24_headline_isiran,24,layer_24/width_16k/batch_topk_32,l1,False,1024
0.6328589798391057,0.6334134615384616,0.6904415654791256,1.0,16,57_wikidatais_alive,24,layer_24/width_16k/topk_32,l1,False,7
0.590084002162432,0.5949519230769231,0.6634875416050295,1.0,128,57_wikidatais_alive,24,layer_24/width_16k/topk_32,l1,False,7
0.546566704522646,0.5475206611570248,0.5525715456594495,0.5653333333333334,16,47_reasoning_tf,24,layer_24/width_16k/topk_32,l1,False,275
0.5453750536259329,0.5454545454545454,0.5550686428522642,0.776,128,47_reasoning_tf,24,layer_24/width_16k/topk_32,l1,False,275
0.8167864881989098,0.8172043010752689,0.8929539598969418,0.9907407407407408,16,22_headline_isobama,24,layer_24/width_16k/p_anneal,l1,False,74
0.8513597798650732,0.8513598987982289,0.9240826385443838,0.9417989417989419,128,22_headline_isobama,24,layer_24/width_16k/p_anneal,l1,False,74
0.4012619261714351,0.47936698717948717,0.4599984975961538,1.0,16,56_wikidatasex_or_gender,24,layer_24/width_16k/standard,l1,False,7
0.385794394510487,0.49459134615384615,0.47766153409557854,1.0,128,56_wikidatasex_or_gender,24,layer_24/width_16k/standard,l1,False,7
0.5475253708211635,0.5536609829488466,0.5623897796655676,0.8333333333333334,16,44_phys_tf,24,layer_24/width_16k/topk_32,l1,False,14
